id_autore,agent_type,score
73388,voters,0.6617252117872523
55009,voters,0.6773461348608706
6804,voters,0.11004223951400366
71101,voters,0.6748155364492666
27004,voters,0.522486501804953
2121,voters,0.10423515938292799
97301,right_bots,0.017721304564665374
55985,voters,0.6943739350692145
49787,voters,0.6697512967643302
30339,voters,0.515232097970553
47522,voters,0.6922158105494374
31287,voters,0.5283435878562063
29001,voters,0.46017843228220706
26807,voters,0.4804507901660486
16037,voters,0.28076318164311087
56074,voters,0.5871651736954857
10831,voters,0.27189095297445093
47486,voters,0.678538255587402
20119,voters,0.4096293986582735
76906,voters,0.7132739844278081
58573,voters,0.6869377620297885
12565,voters,0.2390711870219733
61792,voters,0.5555421758052391
59424,voters,0.6798322461670915
29552,voters,0.54665733380302
41714,voters,0.5315919445978623
51909,voters,0.5606049236697259
21096,voters,0.44270846083261184
35209,voters,0.5129000942046755
63732,voters,0.6044559644340368
89600,voters,0.7764647593290782
30851,voters,0.5369745110843532
35097,voters,0.5493291180444289
73351,voters,0.597086697587544
40571,voters,0.510607163539874
32922,voters,0.46891338376486524
20570,voters,0.35974370738372596
41985,voters,0.4731554548459297
4789,voters,0.1926279722979385
1020,voters,0.19521919939557586
36752,voters,0.49721337529801823
90254,voters,0.896284451927575
81791,voters,0.7465537552531514
76407,voters,0.7298056421535404
98723,right_bots,0.09058934978372668
43313,voters,0.46437677240632
9918,voters,0.2649464183411757
4272,voters,0.17473123289009615
18098,voters,0.37044216734696767
38644,voters,0.5461561619754343
82654,voters,0.704347354601195
8895,voters,0.22102498474704743
6488,voters,0.13293278161359504
8816,voters,0.2921925825069133
96245,left_bots,0.816022875539798
69937,voters,0.6219186931789907
9321,voters,0.2946777057019181
48864,voters,0.6493014294364088
74650,voters,0.6420596801000206
62972,voters,0.5812841035384586
64025,voters,0.6036614266983181
48707,voters,0.6539032906213864
36396,voters,0.4891258680800098
55519,voters,0.6794973419880297
81863,voters,0.7958027732705071
56228,voters,0.5631589582954782
35812,voters,0.4841091503058534
67243,voters,0.647525282024482
52742,voters,0.5737907363642921
49253,voters,0.568411174598107
82402,voters,0.7726799187830755
42126,voters,0.4870939330624308
44828,voters,0.4867072257235828
23256,voters,0.46356455225408816
35567,voters,0.5282929346396619
57033,voters,0.6433095224076704
90074,voters,0.7057533131551428
23990,voters,0.4521172562588902
22361,voters,0.37878163997598996
15818,voters,0.25282010990503573
85750,voters,0.7464263919225285
2952,voters,0.13023797432018086
36848,voters,0.5479949133049294
85022,voters,0.7443294336898807
99789,right_bots,0.003914226531731813
79353,voters,0.7098498852013715
84883,voters,0.7560731554392913
91452,voters,0.816433386664637
13899,voters,0.2540464409383661
36935,voters,0.5297151532938112
45235,voters,0.5492807526220032
48484,voters,0.6667817922071999
73996,voters,0.6814888449020847
52646,voters,0.6692859668451207
37609,voters,0.542020855441159
29632,voters,0.49763014421684604
68126,voters,0.5692427096922208
56331,voters,0.625769809722387
92283,voters,0.8942757284249669
16079,voters,0.28498954913523655
67577,voters,0.5588390231510539
55511,voters,0.5525302440065796
11315,voters,0.2995569100927037
26978,voters,0.5245958017005653
90213,voters,0.7765660525203262
40611,voters,0.5366074730997535
32193,voters,0.5471748935441378
9019,voters,0.2894264194896752
56445,voters,0.6489671026842376
4492,voters,0.11409573033683264
43074,voters,0.45194435087163914
63640,voters,0.6495442117903435
94779,voters,0.8988311660851981
83627,voters,0.7490742427281676
77189,voters,0.7777074683333396
16834,voters,0.25018007471621073
35926,voters,0.5078451648688419
54447,voters,0.6625023662766027
24871,voters,0.450217826006504
72800,voters,0.6212428005058378
70455,voters,0.680106101148605
53862,voters,0.554207526372898
28870,voters,0.48841499357965984
2787,voters,0.16932198885210764
86349,voters,0.75652773372787
50042,voters,0.5625253591869944
43745,voters,0.483725726298479
82821,voters,0.7206021738056143
69173,voters,0.6112388854960472
33549,voters,0.46440719766320615
21006,voters,0.32061222430438013
20476,voters,0.3325160954381085
86915,voters,0.7482135400391657
87195,voters,0.7959963095297489
37800,voters,0.45174203432602156
1585,voters,0.10276081482383673
56254,voters,0.6817479345475486
16012,voters,0.2968111850302697
39025,voters,0.4733222126045623
97374,right_bots,0.09055014609761779
81278,voters,0.704717703486148
65385,voters,0.6687903934755426
70727,voters,0.5916238285492258
31366,voters,0.47079495910576696
37905,voters,0.49996341459371973
57559,voters,0.6686299376311994
92640,voters,0.8082777097790048
24680,voters,0.5291040922180495
38888,voters,0.5282445514479567
72185,voters,0.6146846552561671
20918,voters,0.4125617336418524
85412,voters,0.7865713560957808
88176,voters,0.7207577124696335
83481,voters,0.7687294869647179
42272,voters,0.4739592670118864
45315,voters,0.5455813983910749
19213,voters,0.3059670328674585
5650,voters,0.11283392995080735
73210,voters,0.5927219940477233
62971,voters,0.6280666932089222
65354,voters,0.5798445754416095
72547,voters,0.5673249174815648
84036,voters,0.7441718437216699
11726,voters,0.25908536303767105
3312,voters,0.12422029493719483
61988,voters,0.5801323097556449
74966,voters,0.7411234566741262
