id_autore,agent_type,score
8694,voters,0.2999095979194302
89041,voters,0.7350799775019484
88632,voters,0.7899871000830032
26390,voters,0.4966024914113526
61198,voters,0.6837471368090253
47181,voters,0.6177187170211144
83449,voters,0.707571895410507
67255,voters,0.6692927884001318
82173,voters,0.7364032304383038
38152,voters,0.4993447079563169
25401,voters,0.5482144202837879
52897,voters,0.6817771271986209
29578,voters,0.45211787585391144
12287,voters,0.2668289320071334
14726,voters,0.24070849341221173
34978,voters,0.46546600167584745
51910,voters,0.6482144193238776
73584,voters,0.5528663626905039
45953,voters,0.48389584023192095
88725,voters,0.7753566379956144
3348,voters,0.10146792026444044
26381,voters,0.4797804530032686
29006,voters,0.5083008528201608
14893,voters,0.2702403849160626
73593,voters,0.5655233190114752
6260,voters,0.16084771376060397
73804,voters,0.6039266435495108
44122,voters,0.5151235383650002
33704,voters,0.46266239583613156
80042,voters,0.7657479697179479
21311,voters,0.43276566120279947
66196,voters,0.6003891094999605
11143,voters,0.22401830332197845
16906,voters,0.26855013239965286
39876,voters,0.547651117154688
30957,voters,0.5359287805549704
92347,voters,0.8648281226390266
30675,voters,0.46970776739700587
60020,voters,0.6188637540734384
96632,left_bots,0.821644337484154
45972,voters,0.4916067352966299
43510,voters,0.538337828576335
21713,voters,0.31085518511575
38820,voters,0.46919502875580443
25300,voters,0.4981325768266909
59177,voters,0.6290981681576231
93336,voters,0.8533501058778157
41788,voters,0.5349921586334248
86711,voters,0.7284200832935436
64776,voters,0.6891681666004918
31601,voters,0.4977367475761403
797,voters,0.01623854349360301
17900,voters,0.3522117282518865
97342,right_bots,0.09277908498640242
26498,voters,0.5021945535681138
29229,voters,0.4688868502354206
17712,voters,0.4029040457163327
51211,voters,0.5930129569714255
43933,voters,0.4501829559717871
26965,voters,0.5208594678716124
30915,voters,0.5116830837112738
25830,voters,0.45713059542447265
38505,voters,0.534360742011462
26940,voters,0.46029582322141344
43777,voters,0.5166685733346353
56380,voters,0.568602653476659
87708,voters,0.7456518848863083
38235,voters,0.5019717686009431
12586,voters,0.292709155173131
15723,voters,0.2788528780146877
2095,voters,0.1140378628663885
10690,voters,0.2591436678983327
43283,voters,0.5311091703266931
87973,voters,0.780234405960394
81593,voters,0.7045314260172809
39685,voters,0.5392350600139029
78620,voters,0.7228566617538776
16447,voters,0.2879803681849419
52133,voters,0.5705969728282235
75509,voters,0.7216741413857205
4765,voters,0.17022325489181267
36982,voters,0.5257841400309301
23930,voters,0.48043165167447255
46946,voters,0.5865283753328739
29595,voters,0.45043248513494494
19353,voters,0.3552855489079776
4437,voters,0.10084565293838607
88149,voters,0.732741877936703
2326,voters,0.14099546317749603
68583,voters,0.6889482341425919
20309,voters,0.4052919816818218
30349,voters,0.47714240988660117
17957,voters,0.34493644043176996
30648,voters,0.533552380033302
57925,voters,0.6733231281608855
4606,voters,0.12934363742380328
22996,voters,0.36836648832124297
39197,voters,0.4955385710771339
43528,voters,0.5218979198018554
93236,voters,0.8232746735815354
99853,right_bots,0.06349964237942268
51294,voters,0.600927136748808
99052,right_bots,0.035202372704801636
55580,voters,0.6500653392402712
29333,voters,0.4712524722200776
7901,voters,0.28093772260557187
16620,voters,0.24337819592375712
4553,voters,0.1668262748290772
19524,voters,0.4061215942073501
42664,voters,0.4903885458906953
85824,voters,0.7798475693226891
47770,voters,0.6373550388452487
39066,voters,0.5115271341050078
47225,voters,0.6451096898181988
40805,voters,0.5350261629761022
79784,voters,0.7791886009792507
59585,voters,0.6179391292842236
42020,voters,0.47863931574300306
